wave_um	n_dirty	k_dirty
0.105	1.346	0.081
0.207	1.358	0.048
0.410	1.388	0.065
0.810	1.420	0.053
1.077	1.427	0.050
1.207	1.429	0.048
1.515	1.430	0.046
1.698	1.429	0.046
1.902	1.426	0.045
2.014	1.424	0.045
2.256	1.414	0.044
2.388	1.405	0.043
2.528	1.393	0.042
2.676	1.357	0.041
2.832	1.243	0.094
2.998	1.364	0.364
3.174	1.634	0.243
3.360	1.566	0.097
3.556	1.544	0.086
3.764	1.528	0.063
3.984	1.509	0.056
4.217	1.495	0.058
4.464	1.492	0.064
4.727	1.495	0.059
5.003	1.485	0.054
5.296	1.474	0.053
5.605	1.454	0.061
5.932	1.456	0.097
6.281	1.481	0.100
6.648	1.487	0.088
7.036	1.483	0.083
7.451	1.479	0.079
7.887	1.464	0.076
8.349	1.435	0.075
8.837	1.437	0.122
9.350	1.462	0.102
9.903	1.407	0.093
10.48	1.362	0.143
11.74	1.386	0.319
12.43	1.466	0.369
13.16	1.556	0.386
13.93	1.635	0.361
14.74	1.692	0.318
15.60	1.725	0.269
16.52	1.734	0.215
17.48	1.730	0.187
18.51	1.725	0.165
19.59	1.729	0.139
21.95	1.709	0.085
23.24	1.684	0.072
24.59	1.659	0.065
26.04	1.635	0.060
27.56	1.608	0.056
29.17	1.579	0.062
30.88	1.545	0.084
34.59	1.479	0.156
36.63	1.450	0.220
41.04	1.446	0.379
43.44	1.543	0.497
45.97	1.658	0.590
48.68	1.804	0.545
51.51	1.887	0.465
54.52	1.903	0.369
57.72	1.867	0.340
61.10	1.865	0.359
63.67	1.900	0.372
68.46	1.944	0.362
72.46	1.980	0.334
76.72	2.000	0.308
81.19	2.019	0.281
85.98	2.039	0.253
90.96	2.057	0.222
96.33	2.059	0.180
102.0	2.055	0.143
107.9	2.035	0.119
114.3	2.018	0.106
121.0	2.004	0.100
135.5	1.992	0.095
143.4	1.990	0.094
160.7	1.990	0.089
170.1	1.990	0.087
190.6	1.990	0.081
213.5	1.991	0.076
239.3	1.994	0.070
268.1	1.996	0.063
300.4	1.996	0.057
400.0	2.001	0.046
500.0	2.005	0.037
600.0	2.006	0.030
800.0	2.007	0.024
